domaine;code;occurrences;colonnes;sources
activite_regulee;800;30;activite.code_activite_regulee;finess_activites
activite_regulee;804;30;activite.code_activite_regulee;finess_activites
activite_regulee;834;30;activite.code_activite_regulee;finess_activites
activite_regulee;86;30;activite.code_activite_regulee;finess_activites
activite_regulee;872;30;activite.code_activite_regulee;finess_activites
activite_regulee;052;28;activite.code_activite_regulee;finess_activites
activite_regulee;073;28;activite.code_activite_regulee;finess_activites
activite_regulee;100;28;activite.code_activite_regulee;finess_activites
activite_regulee;15;28;activite.code_activite_regulee;finess_activites
activite_regulee;522;28;activite.code_activite_regulee;finess_activites
activite_regulee;648;28;activite.code_activite_regulee;finess_activites
activite_regulee;763;28;activite.code_activite_regulee;finess_activites
